| Run on Wed Aug 12 14:16:57 2026
|
|gmx_MMPBSA Version=1.6.5 based on MMPBSA.py v.16.0
|Complex Structure file:                                                  MD.tpr
|Complex (GROMACS) topology file:                                      topol.top
|Complex (AMBER) topology file:                                       COM.prmtop
|Receptor (AMBER) topology file:                                      REC.prmtop
|Ligand (AMBER) topology file:                                        LIG.prmtop
|Initial trajectories:                                            COM_traj_0.xtc
|
|Receptor mask:                  ":1-531"
|Ligand mask:                    ":532"
|Ligand residue name is:         "LIG"
|
|Calculations performed using 250 complex frames
|Poisson Boltzmann calculations performed using internal PBSA solver in sander
|
|Using temperature = 298.15 K
|All units are reported in kcal/mol
|
|SD - Sample standard deviation, SEM - Sample standard error of the mean
|SD(Prop.), SEM(Prop.) - SD and SEM obtained with propagation of uncertainty formula
|https://en.wikipedia.org/wiki/Propagation_of_uncertainty#Example_formulae
|
-------------------------------------------------------------------------------
-------------------------------------------------------------------------------

POISSON BOLTZMANN:

Complex:
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
BOND                   1635.33         35.49      35.49         2.24       2.24
ANGLE                  4199.92         48.52      48.52         3.07       3.07
DIHED                  5446.24         26.69      26.69         1.69       1.69
VDWAALS               -4495.87         30.34      30.34         1.92       1.92
EEL                  -36794.61        134.06     134.06         8.48       8.48
1-4 VDW                1956.30         20.03      20.03         1.27       1.27
1-4 EEL               22012.74         56.46      56.46         3.57       3.57
EPB                   -6404.85        120.05     120.05         7.59       7.59
ENPOLAR                 113.46          1.20       1.20         0.08       0.08
EDISPER                   0.00          0.00       0.00         0.00       0.00

GGAS                  -6039.96        163.73     144.00        10.36       9.11
GSOLV                 -6291.39        120.06     119.64         7.59       7.57

TOTAL                -12331.35        203.03      66.72        12.84       4.22

-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
Receptor:
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
BOND                   1628.12         35.56      35.56         2.25       2.25
ANGLE                  4187.98         48.23      48.23         3.05       3.05
DIHED                  5431.46         26.78      26.78         1.69       1.69
VDWAALS               -4463.23         30.42      30.42         1.92       1.92
EEL                  -36781.37        134.05     134.05         8.48       8.48
1-4 VDW                1946.05         19.96      19.96         1.26       1.26
1-4 EEL               22058.24         56.50      56.50         3.57       3.57
EPB                   -6411.69        118.84     118.84         7.52       7.52
ENPOLAR                 114.11          1.23       1.23         0.08       0.08
EDISPER                   0.00          0.00       0.00         0.00       0.00

GGAS                  -5992.76        163.69     141.95        10.35       8.98
GSOLV                 -6297.58        118.85     118.53         7.52       7.50

TOTAL                -12290.34        202.28      66.11        12.79       4.18

-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
Ligand:
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
BOND                      7.20          1.89       1.89         0.12       0.12
ANGLE                    11.94          2.68       2.68         0.17       0.17
DIHED                    14.79          2.52       2.52         0.16       0.16
VDWAALS                  -0.17          0.93       0.93         0.06       0.06
EEL                      -7.55          0.69       0.69         0.04       0.04
1-4 VDW                  10.25          0.89       0.89         0.06       0.06
1-4 EEL                 -45.50          0.91       0.91         0.06       0.06
EPB                     -15.75          0.30       0.30         0.02       0.02
ENPOLAR                   2.63          0.02       0.02         0.00       0.00
EDISPER                   0.00          0.00       0.00         0.00       0.00

GGAS                     -9.05          4.47       3.76         0.28       0.24
GSOLV                   -13.12          0.30       0.30         0.02       0.02

TOTAL                   -22.17          4.48       3.78         0.28       0.24

-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
Delta (Complex - Receptor - Ligand):
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
ΔBOND                    -0.00          1.82       0.00         0.12       0.00
ΔANGLE                   -0.00          2.39       0.00         0.15       0.00
ΔDIHED                    0.00          2.42       0.00         0.15       0.00
ΔVDWAALS                -32.47          0.84       4.54         0.05       0.29
ΔEEL                     -5.69          0.68       3.62         0.04       0.23
Δ1-4 VDW                  0.00          0.81       0.00         0.05       0.00
Δ1-4 EEL                 -0.00          0.87       0.00         0.05       0.00
ΔEPB                     22.58          0.92       6.22         0.06       0.39
ΔENPOLAR                 -3.27          0.01       0.36         0.00       0.02
ΔEDISPER                  0.00          0.00       0.00         0.00       0.00

ΔGGAS                   -38.16          1.08       6.57         0.07       0.42
ΔGSOLV                   19.31          0.92       5.95         0.06       0.38

ΔTOTAL                  -18.85          1.42       2.87         0.09       0.18
-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
